filepath,first_timestamp,total_duration
filepath_to_file_1,1704067200,600
filepath_to_file_2,1704067800,600
filepath_to_file_3,1704069000,600
filepath_to_file_4,1704069600,600
filepath_to_file_5,1704070200,600
filepath_to_file_6,1704070800,600
filepath_to_file_7,1704071400,600
filepath_to_file_8,1704072000,600
filepath_to_file_9,1704072600,600
filepath_to_file_10,1704073200,600
filepath_to_file_11,1704073800,600
filepath_to_file_12,1704074400,600
filepath_to_file_13,1704075000,600
filepath_to_file_14,1704075600,600
filepath_to_file_15,1704076200,600
filepath_to_file_16,1704076800,600
filepath_to_file_17,1704077400,600
filepath_to_file_18,1704078000,600
filepath_to_file_19,1704078600,600
filepath_to_file_20,1704079200,600
filepath_to_file_21,1704079800,600
filepath_to_file_22,1704080400,600
filepath_to_file_23,1704081000,600
filepath_to_file_24,1704081600,600
filepath_to_file_25,1704082200,600
filepath_to_file_26,1704082800,600
filepath_to_file_27,1704083400,600
filepath_to_file_28,1704084000,600
filepath_to_file_29,1704084600,600
filepath_to_file_30,1704085200,600
filepath_to_file_31,1704085800,600
filepath_to_file_32,1704086400,600
filepath_to_file_33,1704087000,600
filepath_to_file_34,1704087600,600
filepath_to_file_35,1704088200,600
filepath_to_file_36,1704088800,600
filepath_to_file_37,1704089400,600
filepath_to_file_38,1704090000,600
filepath_to_file_39,1704090600,600
filepath_to_file_40,1704091200,600
filepath_to_file_41,1704091800,600
filepath_to_file_42,1704092400,600
filepath_to_file_43,1704093000,600
filepath_to_file_44,1704093600,600
filepath_to_file_45,1704094200,600
filepath_to_file_46,1704094800,600
filepath_to_file_47,1704095400,600
filepath_to_file_48,1704096000,600
filepath_to_file_49,1704096600,600
filepath_to_file_50,1704097200,600
filepath_to_file_51,1704097800,600
filepath_to_file_52,1704098400,600
filepath_to_file_53,1704099000,600
filepath_to_file_54,1704099600,600
filepath_to_file_55,1704100200,600
filepath_to_file_56,1704101400,600
filepath_to_file_57,1704102000,600
filepath_to_file_58,1704102600,600
filepath_to_file_59,1704103200,600
filepath_to_file_60,1704103800,600
filepath_to_file_61,1704104400,600
filepath_to_file_62,1704105000,600
filepath_to_file_63,1704105600,600
filepath_to_file_64,1704106200,600
filepath_to_file_65,1704106800,600
filepath_to_file_66,1704107400,600
filepath_to_file_67,1704108000,600
filepath_to_file_68,1704108600,600
filepath_to_file_69,1704109200,600
filepath_to_file_70,1704109800,600
filepath_to_file_71,1704110400,600
filepath_to_file_72,1704111000,600
filepath_to_file_73,1704111600,600
filepath_to_file_74,1704112200,600
filepath_to_file_75,1704112800,600
filepath_to_file_76,1704113400,600
filepath_to_file_77,1704114000,600
filepath_to_file_78,1704114600,600
filepath_to_file_79,1704115200,600
filepath_to_file_80,1704115800,600
filepath_to_file_81,1704116400,600
filepath_to_file_82,1704117000,600
filepath_to_file_83,1704117600,600
filepath_to_file_84,1704118200,600
filepath_to_file_85,1704118800,600
filepath_to_file_86,1704119400,600
filepath_to_file_87,1704120000,600
filepath_to_file_88,1704120600,600
filepath_to_file_89,1704121200,600
filepath_to_file_90,1704121800,600
filepath_to_file_91,1704122400,600
filepath_to_file_92,1704123000,600
filepath_to_file_93,1704123600,600
filepath_to_file_94,1704124200,600
filepath_to_file_95,1704124800,600
filepath_to_file_96,1704125400,600
filepath_to_file_97,1704126600,600
filepath_to_file_98,1704127200,600
filepath_to_file_99,1704127800,600
filepath_to_file_100,1704128400,600
filepath_to_file_101,1704129000,600
filepath_to_file_102,1704129600,600
filepath_to_file_103,1704130200,600
filepath_to_file_104,1704130800,600
filepath_to_file_105,1704131400,600
filepath_to_file_106,1704132000,600
filepath_to_file_107,1704132600,600
filepath_to_file_108,1704133200,600
filepath_to_file_109,1704133800,600
filepath_to_file_110,1704134400,600
filepath_to_file_111,1704135000,600
filepath_to_file_112,1704135600,600
filepath_to_file_113,1704136200,600
filepath_to_file_114,1704136800,600
filepath_to_file_115,1704137400,600
filepath_to_file_116,1704138000,600
filepath_to_file_117,1704138600,600
filepath_to_file_118,1704139200,600
filepath_to_file_119,1704139800,600
filepath_to_file_120,1704140400,600
